Stoller Wholesale,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"Product Location Report  WAREHOUSE
All Items Sorted by Item Number",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"QOH
Case/Bot",,
Item Nmbr,,Item Description,,,,Size,,BPC,,FF,,WH1,,WH2,,WH3,,BOT,,,QOO
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
295020541,,AGUARDIENTE REAL 1493,,,,750M,,6,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
338000440,,AGUR KESSUM,,,,750M,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
81006041,,AGWA BOLIVIAN COCOA LEAF LIQUEUR,,,,750M,,6,,04-03-1,,04-01-5,,04-03-4,,,,13-50-3,37 / 5,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
204006061,,"AGWA BOLIVIAN COCOA LEAF LIQUOR ""D""",,,,375M,,12,,,,,,47-30-4,,,,,27 / 3,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
204006141,,AGWA BOLIVIAN VALUE PACK,,,,750M,,6,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
158000240,,AIME ROQUESANTE COTES DE PROVENCE,,,,750M,,12,,03-38-1,,,,,,,,15-72-2,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
316001031,,AK-T 100% AGAVE TEQ BLANCO,,,,1 LTR,,6,,,,43-18-2,,43-34-1,,,,11-68-3,11 / 1,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
316003031,,AK-T 100% AGAVE TEQ REPOSADO,,,,1 LTR,,6,,,,42-18-2,,,,,,14-70-3,6 / 2,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
41000540,,"ALAKEY SOJU ""D""",,,,750M,,12,,,,,,46-26-1,,,,,17 / 10,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322020040,,ALASKA BUZZ HONEY VODKA,,,,750ML,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322020141,,ALASKA BUZZ HONEY VODKA,,,,750ML,,6,,,,,,,,,,,0 / 0,,12.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
322022040,,ALASKA FROSTBITE VODKA,,,,750ML,,12,,,,,,,,,,,0 / 0,,0.00
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
